first_name_initial,last_name_initial,first_name,last_name,birthday,dataA,gender,dataA1,dataA2,dataA3,dataA4,dataA5,dataA6,dataA7,dataA8,dataA9,dataA10,dataA11,dataA12,dataA13,dataA14,dataA15,dataA16,dataA17,dataA18,dataA19
J,K,Jan,Kowalski,1/1/1901,a1,m,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a11,a12,a13,a14,a15,a16,a17,a18,a19
P,N,Piotr,Nowak,2/2/1902,a2,f,a2,a3,a4,a5,a6,a7,a8,a9,a20,a21,a21,a22,a23,a24,a25,a26,a27,a28,a29
K,P,Kubuś,Puchatek,3/3/1903,a3,m,a2,a3,a4,a5,a6,a7,a8,a9,a30,a31,a31,a32,a33,a34,a35,a36,a37,a38,a39
P,I,I przyjaciele,4/4/1904,a4,f,a2,a3,a4,a5,a6,a7,a8,a9,a40,a41,a41,a42,a43,a44,a45,a46,a47,a48,a49
P,P,Prosiaczek,Puchatek,5/5/1905,a5,m,a2,a3,a4,a5,a6,a7,a8,a9,a50,a51,a51,a52,a53,a54,a55,a56,a57,a58,a59
K,M,Koziołek,Matołek,6/6/1906,a6,f,a2,a3,a4,a5,a6,a7,a8,a9,a60,a61,a61,a62,a63,a64,a65,a66,a67,a68,a69
B,i,i Lolek,7/7/1907,a7,m,a2,a3,a4,a5,a6,a7,a8,a9,a70,a71,a71,a72,a73,a74,a75,a76,a77,a78,a79
M,P,Miś,Paddington,8/8/1908,a8,f,a2,a3,a4,a5,a6,a7,a8,a9,a80,a81,a81,a82,a83,a84,a85,a86,a87,a88,a89
G,G,Gargamel,Gargamel,9/9/1909,a9,m,a2,a3,a4,a5,a6,a7,a8,a9,a90,a91,a91,a92,a93,a94,a95,a96,a97,a98,a99
K,K,Klakier,Klakier,10/10/1910,a10,m,a12,a13,a14,a15,a16,a17,a18,a19,a100,a101,a101,a102,a103,a104,a105,a106,a107,a108,a109
K,K,Krystyna,Karotka,10/10/1910,a11,f,a12,a13,a14,a15,a16,a17,a18,a19,a110,a111,a111,a112,a113,a114,a115,a116,a117,a118,a119
